event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
tag_import,46.1944825730049,"-77.34375,36.5625,-76.640625,36.9140625",0,1,1326.54
tag_import,50.3291641197406,"47.8125,29.267578125,47.98828125,29.35546875",0,1,86663.07
tag_import,48.0386884641386,"47.98828125,29.1796875,48.1640625,29.267578125",1,1,41001.96
tag_import,46.7767146646457,"47.98828125,29.267578125,48.1640625,29.35546875",1,1,91390.99
tag_import,48.8116672668347,"6.15234375,51.240234375,6.240234375,51.2841796875",0,1,44671.05
tag_import,51.1522898030167,"6.240234375,51.2841796875,6.328125,51.328125",0,1,57490.1
tag_import,50.8166780596066,"120.849609375,14.326171875,120.9375,14.3701171875",1,1,72689.53
late_import,60.338921934624,"-50.625,-19.6875,-47.8125,-18.28125",0,1,324.38
late_import,66.4038090466061,"-104.765625,50.44921875,-104.58984375,50.537109375",1,1,62562.86
late_import,67.1166105128503,"-76.2890625,36.9140625,-75.9375,37.08984375",1,1,7299.32
late_import,60.993160282678,"-3.1640625,53.349609375,-2.98828125,53.4375",0,1,86293.76
late_import,66.8188833778997,"3.1640625,49.74609375,3.515625,49.921875",1,1,15544.16
late_import,64.2841364904558,"9.84375,61.875,11.25,62.578125",1,1,645.21
late_import,61.7287664557944,"11.25,61.171875,12.65625,61.875",1,1,477.85
